date,value
1945-10-01,152852
1946-10-01,146656
1947-10-01,144829
1948-10-01,144008
1949-10-01,153784
1950-10-01,177528
1951-10-01,199082
1952-01-01,202048
1952-04-01,208759
1952-07-01,208511
1952-10-01,198678
1953-01-01,195249
1953-04-01,186022
1953-07-01,181485
1953-10-01,196403
1954-01-01,208840
1954-04-01,225418
1954-07-01,245245
1954-10-01,248357
1955-01-01,255684
1955-04-01,279570
1955-07-01,295380
1955-10-01,298673
1956-01-01,317228
1956-04-01,307689
1956-07-01,301922
1956-10-01,323618
1957-01-01,309276
1957-04-01,328675
1957-07-01,300970
1957-10-01,301375
1958-01-01,317251
1958-04-01,334908
1958-07-01,367416
1958-10-01,382051
1959-01-01,389733
1959-04-01,404640
1959-07-01,398247
1959-10-01,420820
1960-01-01,397831
1960-04-01,406755
1960-07-01,380195
1960-10-01,425058
1961-01-01,471012
1961-04-01,472076
1961-07-01,484215
1961-10-01,521094
1962-01-01,510450
1962-04-01,390218
1962-07-01,412673
1962-10-01,503823
1963-01-01,532830
1963-04-01,558992
1963-07-01,582272
1963-10-01,558475
1964-01-01,593215
1964-04-01,612252
1964-07-01,633228
1964-10-01,647246
1965-01-01,663263
1965-04-01,637854
1965-07-01,693718
1965-10-01,734923
1966-01-01,714419
1966-04-01,685683
1966-07-01,615709
1966-10-01,660424
1967-01-01,747328
1967-04-01,759549
1967-07-01,809759
1967-10-01,835107
1968-01-01,776014
1968-04-01,884503
1968-07-01,901429
1968-10-01,996085
1969-01-01,946300
1969-04-01,907895
1969-07-01,882607
1969-10-01,840609
1970-01-01,815012
1970-04-01,648418
1970-07-01,755152
1970-10-01,831233
1971-01-01,920098
1971-04-01,918939
1971-07-01,911074
1971-10-01,974871
1972-01-01,1034722
1972-04-01,1033232
1972-07-01,1058729
1972-10-01,1203281
1973-01-01,1117824
1973-04-01,1033342
1973-07-01,1104063
1973-10-01,938338
1974-01-01,911785
1974-04-01,817463
1974-07-01,610689
1974-10-01,632492
1975-01-01,775904
1975-04-01,893211
1975-07-01,782809
1975-10-01,839378
1976-01-01,968562
1976-04-01,987996
1976-07-01,998860
1976-10-01,1034228
1977-01-01,957603
1977-04-01,986596
1977-07-01,947989
1977-10-01,922579
1978-01-01,875995
1978-04-01,943712
1978-07-01,1017253
1978-10-01,969619
1979-01-01,1031598
1979-04-01,1051694
1979-07-01,1121034
1979-10-01,1147253
1980-01-01,1070027
1980-04-01,1217285
1980-07-01,1361379
1980-10-01,1494924
1981-01-01,1507474
1981-04-01,1481228
1981-07-01,1279659
1981-10-01,1382028
1982-01-01,1238257
1982-04-01,1209151
1982-07-01,1326070
1982-10-01,1562485
1983-01-01,1728634
1983-04-01,1946581
1983-07-01,1914447
1983-10-01,1855966
1984-01-01,1749244
1984-04-01,1654360
1984-07-01,1769217
1984-10-01,1789165
1985-01-01,1936090
1985-04-01,2044553
1985-07-01,1923657
1985-10-01,2270405
1986-01-01,2572390
1986-04-01,2685845
1986-07-01,2454216
1986-10-01,2682199
1987-01-01,3227855
1987-04-01,3298585
1987-07-01,3470639
1987-10-01,2710300
1988-01-01,2882377
1988-04-01,3005328
1988-07-01,2972099
1988-10-01,3075619
1989-01-01,3226081
1989-04-01,3441756
1989-07-01,3736453
1989-10-01,3812955
1990-01-01,3613254
1990-04-01,3779525
1990-07-01,3177324
1990-10-01,3531306
1991-01-01,4073363
1991-04-01,4048446
1991-07-01,4306115
1991-10-01,4847773
1992-01-01,4758842
1992-04-01,4757228
1992-07-01,4900311
1992-10-01,5421969
1993-01-01,5670046
1993-04-01,5758436
1993-07-01,6024464
1993-10-01,6296866
1994-01-01,6087940
1994-04-01,6051196
1994-07-01,6309778
1994-10-01,6317493
1995-01-01,6800246
1995-04-01,7346130
1995-07-01,7956397
1995-10-01,8481326
1996-01-01,8880368
1996-04-01,9263442
1996-07-01,9450152
1996-10-01,10061049
1997-01-01,10158704
1997-04-01,11765579
1997-07-01,12777409
1997-10-01,12994853
1998-01-01,14807614
1998-04-01,15060226
1998-07-01,13280058
1998-10-01,15914009
1999-01-01,16371186
1999-04-01,17748300
1999-07-01,16852114
1999-10-01,19976125
2000-01-01,20974342
2000-04-01,20216271
2000-07-01,20171596
2000-10-01,18244251
2001-01-01,16174667
2001-04-01,17317619
2001-07-01,14646910
2001-10-01,16387162
2002-01-01,16564467
2002-04-01,14743424
2002-07-01,12318221
2002-10-01,13193163
2003-01-01,12746087
2003-04-01,14797454
2003-07-01,15485404
2003-10-01,17330169
2004-01-01,17986909
2004-04-01,18196821
2004-07-01,17977053
2004-10-01,19801016
2005-01-01,19661403
2005-04-01,20136765
2005-07-01,21053481
2005-10-01,21517162
2006-01-01,23078819
2006-04-01,22483895
2006-07-01,23267732
2006-10-01,24974734
2007-01-01,25748255
2007-04-01,26987336
2007-07-01,27350673
2007-10-01,26300299
2008-01-01,24040417
2008-04-01,23353159
2008-07-01,20764175
2008-10-01,16480363
2009-01-01,14675995
2009-04-01,17265422
2009-07-01,20170679
2009-10-01,21007614
2010-01-01,22060171
2010-04-01,19870357
2010-07-01,22215197
2010-10-01,24427800
2011-01-01,25872157
2011-04-01,25726783
2011-07-01,21767621
2011-10-01,23653882
2012-01-01,26478631
2012-04-01,25437662
2012-07-01,26838440
2012-10-01,27062333
2013-01-01,29895515
2013-04-01,30440679
2013-07-01,32290304
2013-10-01,34765111
2014-01-01,35829628
2014-04-01,37524686
2014-07-01,37118175
2014-10-01,38421430
2015-01-01,39040908
2015-04-01,39031484
2015-07-01,35864048
2015-10-01,37372677
2016-01-01,37477342
2016-04-01,38168143
2016-07-01,39544552
2016-10-01,40328656
2017-01-01,42649191
2017-04-01,43912491
2017-07-01,45603230
2017-10-01,48135608
2018-01-01,47804403
2018-04-01,48621251
2018-07-01,50854233
2018-10-01,44018400
2019-01-01,49412115
2019-04-01,50883413
2019-07-01,50878917
2019-10-01,54711547
2020-01-01,43079073
2020-04-01,51954925
2020-07-01,56595953
2020-10-01,65522355
2021-01-01,70194672
2021-04-01,75790935
2021-07-01,76049332
2021-10-01,81262593
2022-01-01,77232954
2022-04-01,64877809
2022-07-01,61604695
2022-10-01,65316592
2023-01-01,69164732
2023-04-01,73547252
2023-07-01,71006298
2023-10-01,78222404
2024-01-01,85050849
2024-04-01,86969238
2024-07-01,92365620
2024-10-01,93801448
2025-01-01,91075353
2025-04-01,99706000
2025-07-01,107154168
2025-10-01,110183023
2026-01-01,106892981
