date,value
2026-07-01,36.19
2026-07-03,36.6
2026-07-04,36.57
2026-07-05,36.57
2026-07-06,36.83
2026-07-07,37.01
2026-07-08,37.06
2026-07-09,36.96
2026-07-10,37.35
2026-07-11,37.44
2026-07-12,37.44
2026-07-13,37.35
2026-07-14,37.38
2026-07-15,37.91
2026-07-16,37.95
2026-07-17,37.39
2026-07-18,37.58
2026-07-19,37.61
2026-07-20,37.72
2026-07-21,37.6
2026-07-22,37.52
2026-07-23,36.64
2026-07-24,36.82
2026-07-25,36.8
2026-07-26,36.8
2026-07-27,36.84
2026-07-28,36.86
2026-07-29,36.86
2026-07-30,37.21
2026-07-31,37.39
2026-08-01,37.79
2026-08-02,37.79
2026-08-03,38.37
2026-08-04,38.11
2026-08-05,38.27
2026-08-06,38.19
2026-08-07,38.42
2026-08-08,38.28
2026-08-09,38.28
2026-08-10,38.28
2026-08-11,38.02
2026-08-12,37.68
2026-08-14,37.52
2026-08-15,37.43
2026-08-16,37.43
2026-08-17,37.4
2026-08-18,37.17
2026-08-19,37.21
2026-08-20,37.42
2026-08-21,37.29
2026-08-22,37.32
2026-08-23,37.32
2026-08-24,37.31
2026-08-25,37.33
